protein_id,High_Pause_Counts,transcript_id_x
ENSP00000234296.2,18,ENST00000234296.7
ENSP00000234301.2,4,ENST00000234301.3
ENSP00000234453.4,24,ENST00000234453.10
ENSP00000234454.5,13,ENST00000234454.6
ENSP00000234590.4,6,ENST00000234590.10
ENSP00000234739.3,204,ENST00000234739.8
ENSP00000234831.5,0,ENST00000234831.10
ENSP00000235090.5,9,ENST00000235090.10
ENSP00000235372.6,98,ENST00000235372.11
ENSP00000235521.4,22,ENST00000235521.5
ENSP00000235835.3,18,ENST00000235835.8
ENSP00000236137.5,28,ENST00000236137.10
ENSP00000236273.4,0,ENST00000236273.9
ENSP00000236925.4,73,ENST00000236925.8
ENSP00000236959.9,13,ENST00000236959.14
ENSP00000237264.3,20,ENST00000237264.9
ENSP00000237281.3,26,ENST00000237281.5
ENSP00000237283.8,3,ENST00000237283.9
ENSP00000237642.6,12,ENST00000237642.7
ENSP00000238081.3,0,ENST00000238081.8
ENSP00000238112.3,23,ENST00000238112.8
ENSP00000238146.3,17,ENST00000238146.9
ENSP00000238497.4,5,ENST00000238497.10
ENSP00000238628.6,18,ENST00000238628.10
ENSP00000238647.3,85,ENST00000238647.5
ENSP00000238714.3,33,ENST00000238714.8
ENSP00000238721.4,11,ENST00000238721.9
ENSP00000238789.5,86,ENST00000238789.10
ENSP00000238823.8,0,ENST00000238823.13
ENSP00000238831.3,12,ENST00000238831.9
ENSP00000238875.4,13,ENST00000238875.10
ENSP00000238892.3,5,ENST00000238892.4
ENSP00000239144.4,12,ENST00000239144.5
ENSP00000239215.7,0,ENST00000351486.10
ENSP00000239231.6,12,ENST00000239231.7
ENSP00000239243.5,13,ENST00000239243.7
ENSP00000239367.2,57,ENST00000239367.7
ENSP00000239690.4,13,ENST00000239690.9
ENSP00000239830.4,6,ENST00000239830.9
ENSP00000239878.4,12,ENST00000239878.9
ENSP00000239891.3,13,ENST00000239891.4
ENSP00000239940.7,0,ENST00000239940.11
ENSP00000240079.6,0,ENST00000240079.11
ENSP00000240185.4,55,ENST00000240185.8
ENSP00000240285.5,10,ENST00000240285.10
ENSP00000240316.4,17,ENST00000240316.5
ENSP00000240327.2,0,ENST00000347630.6
ENSP00000240423.4,24,ENST00000240423.9
ENSP00000240651.9,70,ENST00000240651.14
ENSP00000240922.2,8,ENST00000240922.8
ENSP00000241041.3,7,ENST00000241041.7
ENSP00000241052.4,19,ENST00000241052.5
ENSP00000241502.3,9,ENST00000241502.9
ENSP00000241600.5,0,ENST00000241600.10
ENSP00000241704.7,13,ENST00000241704.8
ENSP00000242108.4,73,ENST00000242108.9
ENSP00000242209.4,82,ENST00000242209.9
ENSP00000242284.6,0,ENST00000345519.10
ENSP00000242351.5,25,ENST00000242351.10
ENSP00000242576.3,0,ENST00000242576.7
ENSP00000242591.5,9,ENST00000242591.10
ENSP00000242592.4,36,ENST00000242592.9
ENSP00000242719.3,13,ENST00000242719.4
ENSP00000242776.3,0,ENST00000242776.9
ENSP00000242784.3,0,ENST00000242784.5
ENSP00000242786.4,103,ENST00000242786.6
ENSP00000242839.5,69,ENST00000242839.10
ENSP00000243077.3,314,ENST00000243077.8
ENSP00000243082.4,60,ENST00000243082.4
ENSP00000243326.4,53,ENST00000243326.9
ENSP00000243563.2,16,ENST00000243563.8
ENSP00000243706.4,34,ENST00000243706.8
ENSP00000243878.4,31,ENST00000243878.9
ENSP00000243903.4,45,ENST00000243903.6
ENSP00000244007.3,40,ENST00000244007.7
ENSP00000244040.3,9,ENST00000244040.4
ENSP00000244051.1,12,ENST00000244051.3
ENSP00000244061.2,2,ENST00000244061.6
ENSP00000244217.5,9,ENST00000244217.6
ENSP00000244221.8,0,ENST00000244221.9
ENSP00000244230.2,7,ENST00000244230.7
ENSP00000244426.6,12,ENST00000244426.10
ENSP00000244496.5,0,ENST00000244496.6
ENSP00000244534.6,0,ENST00000244534.7
ENSP00000244571.4,31,ENST00000244571.5
ENSP00000245046.2,20,ENST00000245046.6
ENSP00000245206.5,2,ENST00000245206.10
ENSP00000245304.3,4,ENST00000245304.5
ENSP00000245458.7,4,ENST00000245458.11
ENSP00000245479.2,36,ENST00000245479.3
ENSP00000245544.4,24,ENST00000245544.9
ENSP00000245552.2,0,ENST00000245552.7
ENSP00000245564.3,48,ENST00000245564.8
ENSP00000245787.4,22,ENST00000245787.9
ENSP00000245812.2,2,ENST00000245812.8
ENSP00000245816.3,10,ENST00000245816.11
ENSP00000245907.4,61,ENST00000245907.11
ENSP00000245923.3,42,ENST00000245923.9
ENSP00000245932.5,17,ENST00000245932.11
ENSP00000245934.7,23,ENST00000245934.12
ENSP00000246024.2,9,ENST00000246024.7
ENSP00000246043.4,29,ENST00000246043.8
ENSP00000246069.6,12,ENST00000246069.12
ENSP00000246071.6,10,ENST00000246071.8
ENSP00000246117.3,23,ENST00000246117.9
ENSP00000246151.4,0,ENST00000246151.9
ENSP00000246194.3,12,ENST00000246194.8
ENSP00000246337.4,3,ENST00000246337.9
ENSP00000246505.5,10,ENST00000246505.9
ENSP00000246535.1,9,ENST00000246535.4
ENSP00000246548.3,24,ENST00000246548.9
ENSP00000246747.4,31,ENST00000246747.9
ENSP00000246802.4,17,ENST00000246802.10
ENSP00000246868.2,10,ENST00000246868.7
ENSP00000246912.3,0,ENST00000246912.8
ENSP00000246957.5,14,ENST00000246957.10
ENSP00000247001.3,23,ENST00000247001.10
ENSP00000247003.3,1,ENST00000247003.9
ENSP00000247020.3,8,ENST00000247020.9
ENSP00000247026.5,20,ENST00000247026.10
ENSP00000247191.2,21,ENST00000247191.7
ENSP00000247194.4,17,ENST00000247194.9
ENSP00000247291.3,3,ENST00000247291.8
ENSP00000247665.10,11,ENST00000247665.12
ENSP00000247668.2,20,ENST00000247668.7
ENSP00000247843.2,20,ENST00000247843.7
ENSP00000247970.5,9,ENST00000247970.9
ENSP00000247977.3,23,ENST00000247977.9
ENSP00000248114.6,8,ENST00000248114.7
ENSP00000248142.6,36,ENST00000248142.7
ENSP00000248248.3,28,ENST00000248248.8
ENSP00000248420.5,16,ENST00000248420.9
ENSP00000248437.4,47,ENST00000248437.9
ENSP00000248451.3,10,ENST00000248451.7
ENSP00000248553.6,12,ENST00000248553.7
ENSP00000248594.6,73,ENST00000248594.11
ENSP00000248633.4,67,ENST00000248633.9
ENSP00000248846.5,79,ENST00000248846.10
ENSP00000248958.4,13,ENST00000248958.5
ENSP00000248975.5,7,ENST00000248975.6
ENSP00000249014.4,24,ENST00000249014.5
ENSP00000249042.3,23,ENST00000249042.8
ENSP00000249064.4,0,ENST00000249064.9
ENSP00000249269.4,13,ENST00000249269.9
ENSP00000249299.2,0,ENST00000249299.7
ENSP00000249356.3,15,ENST00000249356.4
ENSP00000249504.5,18,ENST00000249504.7
ENSP00000249647.3,0,ENST00000249647.8
ENSP00000249700.4,30,ENST00000249700.9
ENSP00000249750.4,3,ENST00000249750.9
ENSP00000249776.8,0,ENST00000249776.12
ENSP00000249786.4,0,ENST00000249786.9
ENSP00000249910.1,30,ENST00000249910.5
ENSP00000250101.5,0,ENST00000250101.10
ENSP00000250237.4,11,ENST00000250237.10
ENSP00000250416.5,25,ENST00000250416.9
ENSP00000250454.3,5,ENST00000250454.8
ENSP00000250498.4,7,ENST00000250498.9
ENSP00000250617.6,40,ENST00000250617.7
ENSP00000250916.3,18,ENST00000250916.6
ENSP00000251038.5,31,ENST00000251038.10
ENSP00000251047.4,21,ENST00000251047.6
ENSP00000251089.3,16,ENST00000251089.8
ENSP00000251143.6,44,ENST00000251143.9
ENSP00000251241.4,73,ENST00000251241.9
ENSP00000251453.2,4,ENST00000251453.8
ENSP00000251496.2,37,ENST00000251496.7
ENSP00000251588.2,17,ENST00000251588.7
ENSP00000251636.5,14,ENST00000251636.10
ENSP00000251775.4,0,ENST00000251775.9
ENSP00000251809.3,114,ENST00000251809.4
ENSP00000251871.3,39,ENST00000251871.9
ENSP00000251900.4,8,ENST00000251900.9
ENSP00000251968.3,14,ENST00000251968.4
ENSP00000252011.3,37,ENST00000252011.8
ENSP00000252102.5,2,ENST00000252102.9
ENSP00000252116.5,20,ENST00000348657.6
ENSP00000252137.6,21,ENST00000252137.11
ENSP00000252242.4,11,ENST00000252242.9
ENSP00000252244.3,15,ENST00000252244.3
ENSP00000252288.1,11,ENST00000252288.8
ENSP00000252483.4,47,ENST00000252483.10
ENSP00000252485.3,49,ENST00000252485.8
ENSP00000252486.3,10,ENST00000252486.9
ENSP00000252506.6,12,ENST00000252506.11
ENSP00000252512.9,47,ENST00000252512.14
ENSP00000252530.4,31,ENST00000252530.9
ENSP00000252542.3,9,ENST00000252542.9
ENSP00000252599.3,6,ENST00000252599.9
ENSP00000252603.1,16,ENST00000252603.7
ENSP00000252622.8,0,ENST00000252622.15
ENSP00000252674.6,5,ENST00000252674.9
ENSP00000252804.4,54,ENST00000252804.9
ENSP00000252818.3,17,ENST00000252818.5
ENSP00000252891.3,53,ENST00000252891.8
ENSP00000252934.4,13,ENST00000252934.10
ENSP00000252971.5,20,ENST00000252971.11
ENSP00000252992.4,13,ENST00000252992.8
ENSP00000252996.3,105,ENST00000252996.9
ENSP00000252999.3,207,ENST00000252999.7
ENSP00000253023.2,16,ENST00000253023.8
ENSP00000253024.4,14,ENST00000253024.10
